time (s),bit3_sampled (V),bit2_sampled (V),bit1_sampled (V),bit0_sampled (V)
1.008E-9,900.0E-3,-27.43E-6,-27.40E-6,-26.49E-6
2.007E-9,900.0E-3,-27.40E-6,-27.39E-6,-26.56E-6
3.008E-9,900.0E-3,-27.11E-6,-27.09E-6,900.0E-3
4.007E-9,900.0E-3,-26.91E-6,-26.91E-6,900.0E-3
5.007E-9,900.0E-3,-27.08E-6,900.0E-3,-27.50E-6
6.007E-9,900.0E-3,-27.13E-6,900.0E-3,-26.52E-6
7.007E-9,900.0E-3,-27.09E-6,900.0E-3,900.0E-3
8.007E-9,900.0E-3,-27.11E-6,900.0E-3,900.0E-3
9.008E-9,900.0E-3,-27.11E-6,900.0E-3,900.0E-3
10.01E-9,900.0E-3,-27.11E-6,900.0E-3,900.0E-3
11.01E-9,900.0E-3,-27.11E-6,900.0E-3,900.0E-3
12.01E-9,900.0E-3,-27.12E-6,900.0E-3,900.0E-3
13.01E-9,900.0E-3,-27.17E-6,900.0E-3,-27.06E-6
14.01E-9,900.0E-3,-27.09E-6,900.0E-3,-26.49E-6
15.01E-9,900.0E-3,-27.18E-6,900.0E-3,-26.56E-6
16.01E-9,900.0E-3,-27.02E-6,-27.93E-6,900.0E-3
17.01E-9,900.0E-3,-27.27E-6,-27.25E-6,-27.04E-6
18.01E-9,900.0E-3,-27.46E-6,-27.44E-6,-26.65E-6
19.01E-9,-28.02E-6,900.0E-3,900.0E-3,900.0E-3
20.01E-9,-27.07E-6,900.0E-3,900.0E-3,900.0E-3
21.01E-9,-27.08E-6,900.0E-3,900.0E-3,-27.51E-6
22.01E-9,-27.17E-6,900.0E-3,-28.06E-6,900.0E-3
23.01E-9,-27.16E-6,900.0E-3,-27.17E-6,900.0E-3
24.01E-9,-26.79E-6,900.0E-3,-26.81E-6,900.0E-3
25.01E-9,-27.22E-6,900.0E-3,-27.52E-6,-27.74E-6
26.01E-9,-27.17E-6,900.0E-3,-27.47E-6,-26.71E-6
27.01E-9,-27.17E-6,900.0E-3,-27.46E-6,-26.70E-6
28.01E-9,-27.17E-6,900.0E-3,-27.46E-6,-26.70E-6
29.01E-9,-27.18E-6,900.0E-3,-27.47E-6,-26.71E-6
30.01E-9,-27.17E-6,900.0E-3,-27.47E-6,-26.71E-6
31.01E-9,-27.22E-6,900.0E-3,-27.52E-6,-26.76E-6
32.01E-9,-27.18E-6,900.0E-3,-27.19E-6,900.0E-3
33.01E-9,-27.16E-6,900.0E-3,-27.16E-6,900.0E-3
34.01E-9,-27.23E-6,900.0E-3,900.0E-3,-27.32E-6
35.01E-9,-27.16E-6,900.0E-3,900.0E-3,-26.62E-6
36.01E-9,-27.13E-6,900.0E-3,900.0E-3,900.0E-3
37.01E-9,-27.05E-6,900.0E-3,900.0E-3,900.0E-3
38.01E-9,900.0E-3,-28.15E-6,-28.14E-6,-27.78E-6
39.01E-9,900.0E-3,-27.14E-6,-27.11E-6,900.0E-3
40.01E-9,900.0E-3,-27.17E-6,-27.14E-6,900.0E-3
41.01E-9,900.0E-3,-27.09E-6,900.0E-3,-27.54E-6
42.01E-9,900.0E-3,-27.14E-6,900.0E-3,-26.61E-6
43.01E-9,900.0E-3,-26.99E-6,900.0E-3,-26.28E-6
44.01E-9,900.0E-3,-26.91E-6,900.0E-3,900.0E-3
45.01E-9,900.0E-3,-27.22E-6,900.0E-3,900.0E-3
46.01E-9,900.0E-3,-27.22E-6,900.0E-3,900.0E-3
47.01E-9,900.0E-3,-27.22E-6,900.0E-3,900.0E-3
48.01E-9,900.0E-3,-27.14E-6,900.0E-3,900.0E-3
49.01E-9,900.0E-3,-26.77E-6,900.0E-3,900.0E-3
50.01E-9,900.0E-3,-27.04E-6,900.0E-3,-27.23E-6
51.01E-9,900.0E-3,-27.23E-6,900.0E-3,-26.72E-6
52.01E-9,900.0E-3,-26.90E-6,-27.86E-6,900.0E-3
53.01E-9,900.0E-3,-26.94E-6,-26.92E-6,900.0E-3
54.01E-9,900.0E-3,-27.49E-6,-27.47E-6,-27.67E-6
55.01E-9,900.0E-3,-27.34E-6,-27.32E-6,-26.48E-6
56.01E-9,-27.88E-6,900.0E-3,900.0E-3,900.0E-3
57.01E-9,-27.20E-6,900.0E-3,900.0E-3,-27.19E-6
58.01E-9,-27.15E-6,900.0E-3,900.0E-3,-26.62E-6
59.01E-9,-27.09E-6,900.0E-3,-27.99E-6,900.0E-3
