time (s),bit3_2_sampled (V),bit2_2_sampled (V),bit1_2_sampled (V),bit0_2_sampled (V)
1.008E-9,900.1E-3,103.7E-6,-92.63E-6,22.17E-6
1.508E-9,899.9E-3,11.63E-6,180.1E-6,-6.313E-6
2.007E-9,900.0E-3,-36.00E-6,-96.38E-6,900.0E-3
2.508E-9,899.9E-3,-199.7E-6,-191.4E-6,899.9E-3
3.008E-9,900.0E-3,116.3E-6,900.1E-3,-86.17E-6
3.508E-9,900.0E-3,261.0E-6,900.1E-3,-189.8E-6
4.007E-9,900.0E-3,86.01E-6,900.0E-3,-193.9E-6
4.508E-9,900.0E-3,-51.73E-6,899.9E-3,-7.018E-6
5.008E-9,900.1E-3,380.7E-6,900.0E-3,899.9E-3
5.508E-9,900.0E-3,-72.17E-6,899.9E-3,900.0E-3
6.008E-9,900.1E-3,141.6E-6,900.0E-3,900.0E-3
6.508E-9,899.9E-3,49.92E-6,900.1E-3,900.0E-3
7.008E-9,900.1E-3,-80.08E-6,900.2E-3,899.8E-3
7.508E-9,900.2E-3,-132.4E-6,899.8E-3,899.9E-3
8.008E-9,899.9E-3,-368.3E-6,900.1E-3,900.1E-3
8.508E-9,900.0E-3,176.2E-6,900.0E-3,899.9E-3
9.008E-9,900.1E-3,-20.51E-6,900.0E-3,120.0E-6
9.507E-9,899.9E-3,56.70E-6,899.8E-3,-39.52E-6
10.01E-9,899.8E-3,-4.556E-6,191.4E-6,900.0E-3
10.51E-9,900.2E-3,-82.20E-6,3.121E-6,900.0E-3
11.01E-9,900.0E-3,-51.25E-6,-1.286E-6,-35.35E-6
11.51E-9,900.0E-3,-125.1E-6,-342.1E-6,-273.1E-6
12.01E-9,65.19E-6,899.8E-3,900.1E-3,899.9E-3
12.51E-9,-59.67E-6,900.0E-3,900.1E-3,900.0E-3
13.01E-9,-105.4E-6,900.0E-3,900.0E-3,899.9E-3
13.51E-9,73.13E-6,899.8E-3,900.1E-3,899.9E-3
14.01E-9,85.17E-6,899.9E-3,900.0E-3,24.66E-6
14.51E-9,-175.3E-6,900.1E-3,900.2E-3,-118.5E-6
15.01E-9,8.720E-6,900.1E-3,-8.814E-6,899.8E-3
15.51E-9,-253.3E-6,899.9E-3,-251.8E-6,900.1E-3
16.01E-9,-27.28E-6,900.0E-3,-72.76E-6,132.9E-6
16.51E-9,17.71E-6,899.8E-3,-253.8E-6,-58.45E-6
17.01E-9,-224.9E-6,899.9E-3,-190.3E-6,169.7E-6
17.51E-9,-267.5E-6,900.1E-3,-212.6E-6,-25.58E-6
18.01E-9,-35.79E-6,900.0E-3,-36.83E-6,-1.463E-6
18.51E-9,210.4E-6,900.1E-3,71.82E-6,-14.82E-6
19.01E-9,-136.4E-6,899.9E-3,-161.5E-6,-22.27E-6
19.51E-9,-132.1E-6,899.9E-3,-110.7E-6,-86.26E-6
20.01E-9,144.1E-6,900.0E-3,-39.39E-6,-129.9E-6
20.51E-9,-198.1E-6,900.1E-3,129.2E-6,-116.5E-6
21.01E-9,-79.26E-6,900.0E-3,-97.15E-6,900.1E-3
21.51E-9,45.39E-6,900.0E-3,-201.3E-6,900.0E-3
22.01E-9,-306.8E-6,900.0E-3,900.0E-3,73.14E-6
22.51E-9,-177.4E-6,899.9E-3,899.8E-3,-292.1E-6
23.01E-9,-16.43E-6,899.9E-3,899.9E-3,899.9E-3
